PlanKind	Version	Mode	PlanStatus	RowType	SessionID	SessionNumber	SessionTitle	CompetitionTitle	StageKind	GroupNumber	ExerciseNumber	StageID	Target	StageField:PerfomanceFramesLimit	Source	Details
ovs-session-refs-plan	2	apply	applied	stageCreate				National 6 SYN Combined	Final1			84	"{""CompetitionID"": 74, ""GroupIDs"": [111], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 SYN Combined"", ""raw"": ""SYN Nat 6 Combined FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 5 SYN Combined	Final1			85	"{""CompetitionID"": 73, ""GroupIDs"": [112], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 SYN Combined"", ""raw"": ""SYN Nat 5 Combined FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 SYN Combined	Final1			86	"{""CompetitionID"": 75, ""GroupIDs"": [113], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 SYN Combined"", ""raw"": ""SYN Nat 7 Combined FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 6 TUM Female	Final1			87	"{""CompetitionID"": 51, ""GroupIDs"": [114], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TUM Female"", ""raw"": ""Nat 6 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 6 TUM Male	Final1			88	"{""CompetitionID"": 52, ""GroupIDs"": [115], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TUM Male"", ""raw"": ""Nat 6 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 6 TRP Male	Final1			89	"{""CompetitionID"": 9, ""GroupIDs"": [116], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TRP Male"", ""raw"": ""Nat 6 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 6 TRP Female	Final1			90	"{""CompetitionID"": 7, ""GroupIDs"": [117], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TRP Female"", ""raw"": ""Nat 6 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 5 DMT Female	Final1			91	"{""CompetitionID"": 22, ""GroupIDs"": [118], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 DMT Female"", ""raw"": ""Nat 5 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 5 DMT Male	Final1			92	"{""CompetitionID"": 23, ""GroupIDs"": [119], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 DMT Male"", ""raw"": ""Nat 5 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 TUM Female	Final1			93	"{""CompetitionID"": 53, ""GroupIDs"": [120], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TUM Female"", ""raw"": ""Nat 7 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 5 TRP Male	Final1			94	"{""CompetitionID"": 5, ""GroupIDs"": [121], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TRP Male"", ""raw"": ""Nat 5 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 5 TRP Female	Final1			95	"{""CompetitionID"": 8, ""GroupIDs"": [122], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TRP Female"", ""raw"": ""Nat 5 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 DMT Male	Final1			96	"{""CompetitionID"": 28, ""GroupIDs"": [123], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 DMT Male"", ""raw"": ""Nat 7 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 DMT Female	Final1			97	"{""CompetitionID"": 26, ""GroupIDs"": [124], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 DMT Female"", ""raw"": ""Nat 7 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 TUM Male	Final1			98	"{""CompetitionID"": 54, ""GroupIDs"": [125], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TUM Male"", ""raw"": ""Nat 7 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 5 TUM Male	Final1			99	"{""CompetitionID"": 50, ""GroupIDs"": [126], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TUM Male"", ""raw"": ""Nat 5 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 TRP Male	Final1			100	"{""CompetitionID"": 11, ""GroupIDs"": [127], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TRP Male"", ""raw"": ""Nat 7 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	applied	stageCreate				National 7 TRP Female	Final1			101	"{""CompetitionID"": 10, ""GroupIDs"": [128], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TRP Female"", ""raw"": ""Nat 7 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
