PlanKind	Version	Mode	PlanStatus	RowType	SessionID	SessionNumber	SessionTitle	CompetitionTitle	StageKind	GroupNumber	ExerciseNumber	StageID	Target	StageField:PerfomanceFramesLimit	Source	Details
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 SYN Combined	Final1				"{""CompetitionID"": 74, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 SYN Combined"", ""raw"": ""SYN Nat 6 Combined FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 SYN Combined	Final1				"{""CompetitionID"": 73, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 SYN Combined"", ""raw"": ""SYN Nat 5 Combined FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 SYN Combined	Final1				"{""CompetitionID"": 75, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 SYN Combined"", ""raw"": ""SYN Nat 7 Combined FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 TUM Female	Final1				"{""CompetitionID"": 51, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TUM Female"", ""raw"": ""Nat 6 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 TUM Male	Final1				"{""CompetitionID"": 52, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TUM Male"", ""raw"": ""Nat 6 TUM Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 TRP Male	Final1				"{""CompetitionID"": 9, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TRP Male"", ""raw"": ""Nat 6 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 6 TRP Female	Final1				"{""CompetitionID"": 7, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 6 TRP Female"", ""raw"": ""Nat 6 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 DMT Female	Final1				"{""CompetitionID"": 22, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 DMT Female"", ""raw"": ""Nat 5 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 DMT Male	Final1				"{""CompetitionID"": 23, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 DMT Male"", ""raw"": ""Nat 5 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 TUM Female	Final1				"{""CompetitionID"": 53, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 TUM Female"", ""raw"": ""Nat 7 TUM Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 TRP Male	Final1				"{""CompetitionID"": 5, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TRP Male"", ""raw"": ""Nat 5 TRP Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 5 TRP Female	Final1				"{""CompetitionID"": 8, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 5 TRP Female"", ""raw"": ""Nat 5 TRP Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 DMT Male	Final1				"{""CompetitionID"": 28, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 DMT Male"", ""raw"": ""Nat 7 DMT Male FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
ovs-session-refs-plan	2	apply	approved	stageCreate				National 7 DMT Female	Final1				"{""CompetitionID"": 26, ""GroupIDs"": [], ""StageKind"": ""Final1""}"	1	"{""competitionTitle"": ""National 7 DMT Female"", ""raw"": ""Nat 7 DMT Female FINAL""}"	"{""proposalBasis"": ""Schedule marks this item as FINAL and the live event currently exposes only the qualification-stage shape, so a separate Final1 stage is proposed.""}"
