PlanKind	Version	Mode	PlanStatus	RowType	SessionID	SessionNumber	SessionTitle	Field:RotationView	Source	Details
ovs-session-start-lists-plan	1	create	approved	session	0	102	TRA 1	4	{"framesBefore": 0, "performanceCountBefore": 15, "referenceCount": 3, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	1	102	TRA 2	4	{"framesBefore": 0, "performanceCountBefore": 23, "referenceCount": 5, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	2	102	TUM	4	{"framesBefore": 0, "performanceCountBefore": 29, "referenceCount": 5, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	3	103	TRA 1	4	{"framesBefore": 0, "performanceCountBefore": 11, "referenceCount": 2, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	4	103	TRA 2	4	{"framesBefore": 0, "performanceCountBefore": 22, "referenceCount": 3, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	5	103	DMT	4	{"framesBefore": 0, "performanceCountBefore": 21, "referenceCount": 5, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	6	103	TUM	4	{"framesBefore": 0, "performanceCountBefore": 15, "referenceCount": 3, "time": "Tue 7 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	7	201	TRA 1	4	{"framesBefore": 0, "performanceCountBefore": 11, "referenceCount": 2, "time": "Wed 8 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	8	201	TRA 2	4	{"framesBefore": 0, "performanceCountBefore": 18, "referenceCount": 3, "time": "Wed 8 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	9	201	DMT	4	{"framesBefore": 0, "performanceCountBefore": 11, "referenceCount": 4, "time": "Wed 8 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	10	201	TUM	4	{"framesBefore": 0, "performanceCountBefore": 11, "referenceCount": 4, "time": "Wed 8 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	11	202	TRA 1	4	{"framesBefore": 0, "performanceCountBefore": 5, "referenceCount": 2, "time": "Wed 8 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	12	202	TRA 2	4	{"framesBefore": 0, "performanceCountBefore": 8, "referenceCount": 2, "time": "Wed 8 Jul"}	
ovs-session-start-lists-plan	1	create	approved	session	13	202	DMT	4	{"framesBefore": 0, "performanceCountBefore": 36, "referenceCount": 6, "time": "Wed 8 Jul"}	
