PlanKind	Version	Mode	PlanStatus	RowType	SessionID	Field:Number	Field:SessionTitle	Field:Time	Source.items	Source.IgnoredItems	Source	Details
ovs-session-plan	2	create	approved	session		102	TRA 1	Tue 7 Jul	"[""SYN Nat 6 Combined Flight 1"", ""SYN Nat 6 Combined Flight 2"", ""SYN Nat 6 Combined FINAL""]"	[]	"{""column"": ""TRAMPOLINE 1"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""SYN Nat 6 Combined Flight 1\nSYN Nat 6 Combined Flight 2\nSYN Nat 6 Combined FINAL"", ""sourceLabel"": ""Session 2, Tue 7th July"", ""sourceRow"": 3, ""sourceSessionNumber"": 2, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		102	TRA 2	Tue 7 Jul	"[""SYN Nat 5 Combined Flight 1"", ""SYN Nat 5 Combined Flight 2"", ""SYN Nat 5 Combined FINAL"", ""SYN Nat 7 Combined Flight 1"", ""SYN Nat 7 Combined FINAL""]"	[]	"{""column"": ""TRAMPOLINE 2"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""SYN Nat 5 Combined Flight 1\nSYN Nat 5 Combined Flight 2\nSYN Nat 5 Combined FINAL\nSYN Nat 7 Combined Flight 1\nSYN Nat 7 Combined FINAL"", ""sourceLabel"": ""Session 2, Tue 7th July"", ""sourceRow"": 3, ""sourceSessionNumber"": 2, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		102	TUM	Tue 7 Jul	"[""Nat 6 TUM Female Flight 1"", ""Nat 6 TUM Female Flight 2"", ""Nat 6 TUM Female FINAL"", ""Nat 6 TUM Male Flight 1"", ""Nat 6 TUM Male FINAL""]"	[]	"{""column"": ""TUMBLING"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""Nat 6 TUM Female Flight 1\nNat 6 TUM Female Flight 2\nNat 6 TUM Female FINAL\nNat 6 TUM Male Flight 1\nNat 6 TUM Male FINAL"", ""sourceLabel"": ""Session 2, Tue 7th July"", ""sourceRow"": 3, ""sourceSessionNumber"": 2, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		103	TRA 1	Tue 7 Jul	"[""Nat 6 TRP Male Flight 1"", ""Nat 6 TRP Male FINAL""]"	[]	"{""column"": ""TRAMPOLINE 1"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""Nat 6 TRP Male Flight 1\nNat 6 TRP Male FINAL"", ""sourceLabel"": ""SESSION 3, Tue 7th July"", ""sourceRow"": 4, ""sourceSessionNumber"": 3, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		103	TRA 2	Tue 7 Jul	"[""Nat 6 TRP Female Flight 1"", ""Nat 6 TRP Female Flight 2"", ""Nat 6 TRP Female FINAL""]"	[]	"{""column"": ""TRAMPOLINE 2"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""Nat 6 TRP Female Flight 1\nNat 6 TRP Female Flight 2\nNat 6 TRP Female FINAL"", ""sourceLabel"": ""SESSION 3, Tue 7th July"", ""sourceRow"": 4, ""sourceSessionNumber"": 3, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		103	DMT	Tue 7 Jul	"[""Nat 5 DMT Female Flight 1"", ""Nat 5 DMT Female Flight 2"", ""Nat 5 DMT Female FINAL"", ""Nat 5 DMT Male Flight 1"", ""Nat 5 DMT Male FINAL""]"	[]	"{""column"": ""DOUBLE MINI TRAMP"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""Nat 5 DMT Female Flight 1\nNat 5 DMT Female Flight 2\nNat 5 DMT Female FINAL\nNat 5 DMT Male Flight 1\nNat 5 DMT Male FINAL"", ""sourceLabel"": ""SESSION 3, Tue 7th July"", ""sourceRow"": 4, ""sourceSessionNumber"": 3, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		103	TUM	Tue 7 Jul	"[""Nat 7 TUM Female Flight 1"", ""Nat 7 TUM Female Flight 2"", ""Nat 7 TUM Female FINAL""]"	[]	"{""column"": ""TUMBLING"", ""date"": ""2026-07-07"", ""dayIndex"": 1, ""sourceCell"": ""Nat 7 TUM Female Flight 1\nNat 7 TUM Female Flight 2\nNat 7 TUM Female FINAL"", ""sourceLabel"": ""SESSION 3, Tue 7th July"", ""sourceRow"": 4, ""sourceSessionNumber"": 3, ""sourceTable"": 0, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		201	TRA 1	Wed 8 Jul	"[""Nat 5 TRP Male Flight 1"", ""Nat 5 TRP Male FINAL""]"	[]	"{""column"": ""TRAMPOLINE 1"", ""date"": ""2026-07-08"", ""dayIndex"": 2, ""sourceCell"": ""Nat 5 TRP Male Flight 1\nNat 5 TRP Male FINAL"", ""sourceLabel"": ""SESSION 1, Wed 8th July"", ""sourceRow"": 2, ""sourceSessionNumber"": 1, ""sourceTable"": 1, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		201	TRA 2	Wed 8 Jul	"[""Nat 5 TRP Female Flight 1"", ""Nat 5 TRP Female Flight 2"", ""Nat 5 TRP Female FINAL""]"	[]	"{""column"": ""TRAMPOLINE 2"", ""date"": ""2026-07-08"", ""dayIndex"": 2, ""sourceCell"": ""Nat 5 TRP Female Flight 1\nNat 5 TRP Female Flight 2\nNat 5 TRP Female FINAL"", ""sourceLabel"": ""SESSION 1, Wed 8th July"", ""sourceRow"": 2, ""sourceSessionNumber"": 1, ""sourceTable"": 1, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
ovs-session-plan	2	create	approved	session		201	DMT	Wed 8 Jul	"[""Nat 7 DMT Male Flight 1"", ""Nat 7 DMT Male FINAL"", ""Nat 7 DMT Female Flight 1"", ""Nat 7 DMT Female FINAL""]"	[]	"{""column"": ""DOUBLE MINI TRAMP"", ""date"": ""2026-07-08"", ""dayIndex"": 2, ""sourceCell"": ""Nat 7 DMT Male Flight 1\nNat 7 DMT Male FINAL\nNat 7 DMT Female Flight 1\nNat 7 DMT Female FINAL"", ""sourceLabel"": ""SESSION 1, Wed 8th July"", ""sourceRow"": 2, ""sourceSessionNumber"": 1, ""sourceTable"": 1, ""unmatched"": []}"	"{""reviewRequired"": true, ""reviewStatus"": ""draft-extraction""}"
